id,city,age,protectionorder,why1,killer1,killingway1,statusofkiller,year
867, Kirsehir , Resit ,   Yok ,Para,Oglu,Tespit Edilemeyen, Araniyor ,2014
870, Kocaeli , Resit ,   Yok ,Namas,Abisi,Bogulma, Tutuklu ,2014
875, Manisa , Resit ,   Yok ,Kizini Korurken,Kizinin Eski Sevgilisi,Atesli Silah, Intihar ,2014
878, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Kesici Alet, Tutuklu ,2014
881, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Yuksekten Dusme, Tutuklu ,2014
883, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Tespit Edilemeyen, Tutuklu ,2014
885, Mersin , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014
891, Nigde , Resit ,   Yok ,Reddedilme,Kocasi,Atesli Silah, Tutuklu ,2014
892, Nigde , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014
893, Rize , Resit ,   Yok ,Tartisma,Akrabasi,Atesli Silah,Tespit Edilemeyen,2014
894, Karabuk, Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014
895, Samsun , Resit  ,   Yok ,Tartisma,Eski Kocasi,Kesici Alet, Tutuklu ,2014
897, Sanliurfa , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2014
898, Sanliurfa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014
901, Tekirdag , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014
902, Tekirdag , Resit ,   Yok ,Evden Kacma,Babasi,Atesli Silah, Tutuklu ,2014
904, Trabzon , Resit ,   Yok ,Tespit Edilemeyen,Kayinpederi,Darp, Tutuklu ,2014
907, Usak , Resit ,   Yok ,Para,Torunu,Darp, Tutuklu ,2014
1030, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015
1031, Adana , Resit ,   Yok ,Tartisma,Kardesi,Kesici Alet, Tutuklu ,2015
1035, Adana , Resit ,   Yok ,Tartisma,Torunu,Atesli Silah, Tutuklu ,2015
1037, Adiyaman , Resit ,   Yok ,Tartisma,Babasi,Atesli Silah, Intihar ,2015
1038, Afyonkarahisar , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015
1039, Afyonkarahisar , Resit ,   Yok ,Para,Tanimadigi Birisi,Darp, Tutuklu ,2015
1040, Antalya , Resit ,   Var ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015
1041, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Yuksekten Dusme, Sorusturma Suruyor ,2015
1043, Ankara , Resit ,   Yok ,Tespi Edilemeyen,Abisi,Kesici Alet, Tutuklu ,2015
1044, Ankara , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2015
1046, Ankara , Resit ,   Var ,Bosanma Talebi,Kocasi,Kesici Alet, Tespit Edilemeyen,2015
